"EAN";"Deeplink";"Dealer item number";"Price excl. VAT";"Price incl. VAT";"VAT Prices";"Delivery time";"Manufacturer";"SKU";"Shipping cost excl. VAT";"Shipping cost incl. VAT";"VAT Shipping cost";"Number in stock";
"5709193405771";"https://www.keengardener.co.uk/char-broil-roast-holder-small.html?utm_source=Char+Broil+Connector";"CHAR-140-577";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-577";"3.49";"2.91";"20";"2.0000";
"5709193405818";"https://www.keengardener.co.uk/char-broil-grill-brush-long-steel-53cm.html?utm_source=Char+Broil+Connector";"CHAR-140-581";"8.991666666666667";"10.79";"20";"1 Day";"Char-Broil";"CHAR-140-581";"3.49";"2.91";"20";"0.0000";
"5709193377023";"https://www.keengardener.co.uk/char-broil-grill-tongs-premium.html?utm_source=Char+Broil+Connector";"CHAR-140-584";"13.325000000000001";"15.99";"20";"1 Day";"Char-Broil";"CHAR-140-584";"3.49";"2.91";"20";"6.0000";
"5709193345749";"https://www.keengardener.co.uk/char-broil-soft-grip-tongs.html?utm_source=Char+Broil+Connector";"CHAR-140-586";"8.325000000000001";"9.99";"20";"1 Day";"Char-Broil";"CHAR-140-586";"3.49";"2.91";"20";"5.0000";
"5709193377146";"https://www.keengardener.co.uk/char-broil-kebab-set.html?utm_source=Char+Broil+Connector";"CHAR-140-587";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-587";"3.49";"2.91";"20";"0.0000";
"5709193398509";"https://www.keengardener.co.uk/char-broil-infusion-flavour-cooker-chamber.html?utm_source=Char+Broil+Connector";"CHAR-140-589";"31.25";"37.5";"20";"1 Day";"Char-Broil";"CHAR-140-589";"3.49";"2.91";"20";"0.0000";
"5709193377016";"https://www.keengardener.co.uk/char-broil-spatular-premium.html?utm_source=Char+Broil+Connector";"CHAR-140-597";"13.325000000000001";"15.99";"20";"1 Day";"Char-Broil";"CHAR-140-597";"3.49";"2.91";"20";"5.0000";
"5709193317357";"https://www.keengardener.co.uk/char-broil-x200-grill2go-bag.html?utm_source=Char+Broil+Connector";"CHAR-140-692";"49.99166666666667";"59.99";"20";"1 Day";"Char-Broil";"CHAR-140-692";"3.49";"2.91";"20";"0.0000";
"5709193335986";"https://www.keengardener.co.uk/char-broil-plancha-small-22-x-46cm.html?utm_source=Char+Broil+Connector";"CHAR-140-591";"37.49166666666667";"44.99";"20";"1 Day";"Char-Broil";"CHAR-140-591";"3.49";"2.91";"20";"0.0000";
"5709193405788";"https://www.keengardener.co.uk/char-broil-ir-cleaning-brush.html?utm_source=Char+Broil+Connector";"CHAR-140-563";"11.241666666666667";"13.49";"20";"1 Day";"Char-Broil";"CHAR-140-563";"3.49";"2.91";"20";"0.0000";
"5709193830061";"https://www.keengardener.co.uk/char-broil-gas2coal-hybrid-bbq-grill.html?utm_source=Char+Broil+Connector";"CHAR-140-723";"366.65833333333336";"439.99";"20";"1 Day";"Char-Broil";"CHAR-140-723";"0.00";"0.00";"20";"0.0000";
"5709193864004";"https://www.keengardener.co.uk/char-broil-professional-2200b-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-731";"333.32500000000004";"399.99";"20";"1 Day";"Char-Broil";"CHAR-140-731";"0.00";"0.00";"20";"17.0000";
"5709193880004";"https://www.keengardener.co.uk/char-broil-professional-2200s-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-733";"333.32500000000004";"399.99";"20";"1 Day";"Char-Broil";"CHAR-140-733";"0.00";"0.00";"20";"0.0000";
"5709193864103";"https://www.keengardener.co.uk/char-broil-professional-3400b-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-734";"466.65833333333336";"559.99";"20";"1 Day";"Char-Broil";"CHAR-140-734";"0.00";"0.00";"20";"0.0000";
"5709193881001";"https://www.keengardener.co.uk/char-broil-professional-3400s-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-736";"466.65833333333336";"559.99";"20";"1 Day";"Char-Broil";"CHAR-140-736";"0.00";"0.00";"20";"0.0000";
"5709193864202";"https://www.keengardener.co.uk/char-broil-professional-4400b-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-737";"487.4916666666667";"584.99";"20";"1 Day";"Char-Broil";"CHAR-140-737";"0.00";"0.00";"20";"0.0000";
"5709193883005";"https://www.keengardener.co.uk/char-broil-professional-4400s-gas-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-738";"541.6583333333334";"649.99";"20";"1 Day";"Char-Broil";"CHAR-140-738";"0.00";"0.00";"20";"0.0000";
"5709193090052";"https://www.keengardener.co.uk/char-broil-convective-performance-charcoal-3500-bbq.html?utm_source=Char+Broil+Connector";"CHAR-140-725";"241.65833333333336";"289.99";"20";"1 Day";"Char-Broil";"CHAR-140-725";"0.00";"0.00";"20";"0.0000";
"5709193351610";"https://www.keengardener.co.uk/char-broil-cool-clean-360-brush.html?utm_source=Char+Broil+Connector";"CHAR-140-001";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-140-001";"3.49";"2.91";"20";"0.0000";
"5709193355779";"https://www.keengardener.co.uk/char-broil-pizza-stone-kit-stone-peel.html?utm_source=Char+Broil+Connector";"CHAR-140-513";"24.991666666666667";"29.99";"20";"1 Day";"Char-Broil";"CHAR-140-513";"3.49";"2.91";"20";"0.0000";
"5709193381372";"https://www.keengardener.co.uk/char-broil-cast-iron-sideburner-griddle-plancha.html?utm_source=Char+Broil+Connector";"CHAR-140-515";"33.325";"39.99";"20";"1 Day";"Char-Broil";"CHAR-140-515";"3.49";"2.91";"20";"0.0000";
"5709193362906";"https://www.keengardener.co.uk/char-broil-grilling-apron.html?utm_source=Char+Broil+Connector";"CHAR-140-517";"12.491666666666667";"14.99";"20";"1 Day";"Char-Broil";"CHAR-140-517";"3.49";"2.91";"20";"0.0000";
"5709193374541";"https://www.keengardener.co.uk/char-broil-hand-stitched-leather-grilling-gloves.html?utm_source=Char+Broil+Connector";"CHAR-140-518";"16.65833333333333";"19.99";"20";"1 Day";"Char-Broil";"CHAR-140-518";"3.49";"2.91";"20";"0.0000";
